Register Number,Candidate Name,Department,Year,Phone Number
REG001,Aarav Mishra,CSE,1,+919360792531
REG002,Aisha Patel,CSE,1,+919360792531
REG003,Akshay Kumar,CSE,1,+919360792531
REG004,Aman Singh,CSE,1,+919360792531
REG005,Amira Sheikh,CSE,1,+919360792531
REG006,Arjun Verma,CSE,2,+919360792531
REG007,Aryan Saxena,CSE,2,+919360792531
REG008,Ashok Reddy,CSE,2,+919360792531
REG009,Aswathi Nair,CSE,2,+919360792531
REG010,Atharva Joshi,CSE,2,+919360792531
REG011,Avni Sharma,CSE,3,9012345678
REG012,Ayush Singh,CSE,3,9123450987
REG013,Babu Kumar,CSE,3,9234501987
REG014,Bala Krishnan,CSE,3,9345610987
REG015,Bhavesh Desai,CSE,3,9456721098
REG016,Bhavna Gupta,CSE,4,9567832109
REG017,Bijay Nath,CSE,4,9678943210
REG018,Biplav Mishra,CSE,4,9789054321
REG019,Chetna Roy,CSE,4,9890165432
REG020,Chirag Jain,CSE,4,9901276543
REG021,Chirag Verma,ECE,1,9812345678
REG022,Darshan Kumar,ECE,1,9923456789
REG023,Devesh Singh,ECE,1,9034567890
REG024,Dhaval Patel,ECE,1,9145678901
REG025,Dheeraj Sharma,ECE,1,9256789012
REG026,Dhruv Malhotra,ECE,2,9367890123
REG027,Divya Bansal,ECE,2,9478901234
REG028,Divyam Tripathi,ECE,2,9589012345
REG029,Diya Saxena,ECE,2,9690123456
REG030,Drishti Pandey,ECE,2,9701234567
REG031,Eisha Kumar,ECE,3,9812345670
REG032,Ekansh Verma,ECE,3,9923456781
REG033,Eshita Kapoor,ECE,3,9034567892
REG034,Eshan Mishra,ECE,3,9145678903
REG035,Eva Deshmukh,ECE,3,9256789014
REG036,Faisal Khan,ECE,4,9367890125
REG037,Farah Siddiqui,ECE,4,9478901236
REG038,Farhan Ahmed,ECE,4,9589012347
REG039,Fatima Hassan,ECE,4,9690123458
REG040,Fawad Malik,ECE,4,9701234569
REG041,Gayatri Sharma,EEE,1,9812345671
REG042,Gaurav Singh,EEE,1,9923456782
REG043,Gaurav Verma,EEE,1,9034567893
REG044,Geetha Kulkarni,EEE,1,9145678904
REG045,Geetika Nair,EEE,1,9256789015
REG046,Girish Patel,EEE,2,9367890126
REG047,Gitika Saxena,EEE,2,9478901237
REG048,Gokul Krishna,EEE,2,9589012348
REG049,Govind Reddy,EEE,2,9690123459
REG050,Gourav Joshi,EEE,2,9701234560
REG051,Grishma Mishra,EEE,3,9812345672
REG052,Grishna Verma,EEE,3,9923456783
REG053,Gyan Singh,EEE,3,9034567894
REG054,Gyani Sharma,EEE,3,9145678905
REG055,Hareem Khan,EEE,3,9256789016
REG056,Hari Verma,EEE,4,9367890127
REG057,Harish Kumar,EEE,4,9478901238
REG058,Harjot Singh,EEE,4,9589012349
REG059,Harjot Kaur,EEE,4,9690123460
REG060,Harmeet Singh,EEE,4,9701234561
REG061,Harsha Reddy,MECH,1,9812345673
REG062,Harshali Joshi,MECH,1,9923456784
REG063,Harshita Nair,MECH,1,9034567895
REG064,Harshith Mishra,MECH,1,9145678906
REG065,Hasini Reddy,MECH,1,9256789017
REG066,Henish Patel,MECH,2,9367890128
REG067,Hesha Sharma,MECH,2,9478901239
REG068,Hetal Joshi,MECH,2,9589012350
REG069,Hidan Malik,MECH,2,9690123461
REG070,Hitesh Kumar,MECH,2,9701234562
REG071,Hiya Saxena,MECH,3,9812345674
REG072,Hom Verma,MECH,3,9923456785
REG073,Honey Singh,MECH,3,9034567896
REG074,Horrid Khan,MECH,3,9145678907
REG075,Hosain Ahmed,MECH,3,9256789018
REG076,Hoshiar Singh,MECH,4,9367890129
REG077,Hriday Patel,MECH,4,9478901240
REG078,Hridha Sharma,MECH,4,9589012351
REG079,Hridoy Joshi,MECH,4,9690123462
REG080,Hritik Mishra,MECH,4,9701234563
REG081,Idhant Reddy,CIVIL,1,9812345675
REG082,Ishan Kumar,CIVIL,1,9923456786
REG083,Ishita Saxena,CIVIL,1,9034567897
REG084,Ishita Verma,CIVIL,1,9145678908
REG085,Ishwar Singh,CIVIL,1,9256789019
REG086,Isha Patel,CIVIL,2,9367890130
REG087,Isha Sharma,CIVIL,2,9478901241
REG088,Ishaan Nair,CIVIL,2,9589012352
REG089,Ishangi Joshi,CIVIL,2,9690123463
REG090,Ishat Malik,CIVIL,2,9701234564
REG091,Ishita Khan,CIVIL,3,9812345676
REG092,Ishitaa Gupta,CIVIL,3,9923456787
REG093,Ishith Reddy,CIVIL,3,9034567898
REG094,Ishmael Ahmed,CIVIL,3,9145678909
REG095,Ishman Verma,CIVIL,3,9256789020
REG096,Ishrat Hassan,CIVIL,4,9367890131
REG097,Iska Joshi,CIVIL,4,9478901242
REG098,Ismail Khan,CIVIL,4,9589012353
REG099,Ismay Sharma,CIVIL,4,9690123464
REG100,Ismot Singh,CIVIL,4,9701234565
